2021-07-21 19:23:07.703 | SUCCESS  | __main__:p_setting_server:16 - 点击设置服务器按钮
2021-07-21 19:23:14.608 | SUCCESS  | __main__:p_input_server:21 - 输入服务器IP地址
2021-07-21 19:24:49.874 | SUCCESS  | __main__:p_setting_server:16 - 点击设置服务器按钮
2021-07-21 19:24:56.596 | SUCCESS  | __main__:p_input_server:21 - 输入服务器IP地址
2021-07-21 19:24:57.310 | SUCCESS  | __main__:p_qued_server:26 - 点击确定按钮
2021-07-21 19:25:07.022 | SUCCESS  | __main__:p_userName:31 - 输入用户名
2021-07-21 19:27:36.002 | SUCCESS  | __main__:p_setting_server:16 - 点击设置服务器按钮
2021-07-21 19:27:42.892 | SUCCESS  | __main__:p_input_server:21 - 输入服务器IP地址
2021-07-21 19:27:43.595 | SUCCESS  | __main__:p_qued_server:26 - 点击确定按钮
2021-07-21 19:27:50.484 | SUCCESS  | __main__:p_userName:31 - 输入用户名
2021-07-21 19:31:03.711 | SUCCESS  | __main__:p_setting_server:16 - 点击设置服务器按钮
2021-07-21 19:31:10.343 | SUCCESS  | __main__:p_input_server:21 - 输入服务器IP地址
2021-07-21 19:31:11.061 | SUCCESS  | __main__:p_qued_server:26 - 点击确定按钮
2021-07-21 19:31:20.750 | SUCCESS  | __main__:p_userName:31 - 输入用户名
2021-07-21 19:31:27.190 | SUCCESS  | __main__:p_password:36 - 输入用户密码
2021-07-21 19:31:33.640 | SUCCESS  | __main__:p_code:41 - 输入验证码
2021-07-21 19:31:33.781 | SUCCESS  | __main__:p_submit:46 - 点击登录
2021-07-21 19:34:10.999 | SUCCESS  | __main__:p_setting_server:16 - 点击设置服务器按钮
2021-07-21 19:34:17.594 | SUCCESS  | __main__:p_input_server:21 - 输入服务器IP地址
2021-07-21 19:34:18.297 | SUCCESS  | __main__:p_qued_server:26 - 点击确定按钮
2021-07-21 19:34:28.000 | SUCCESS  | __main__:p_userName:31 - 输入用户名
2021-07-21 19:34:34.530 | SUCCESS  | __main__:p_password:36 - 输入用户密码
2021-07-21 19:34:40.983 | SUCCESS  | __main__:p_code:41 - 输入验证码
2021-07-21 19:34:41.108 | SUCCESS  | __main__:p_submit:46 - 点击登录
